I'm crying guys ,St0rmy25Fry,35.24231,-106.65413,2014-10-30 14:07:37;
"#Engineering #Job alert: IT SUPPORT AND TESTING SPECIALIST-ALBUQUERQ... | Baker Hughes | #ALBUQUERQUE, NM http://t.co/ZUKjAA3Rgp",BakerHughesJobs,35.08449,-106.65114,2014-10-30 14:07:39;
@Van_Hoosen Oh yes Love those too! My #1 is reeses pieces!,GOTGirl2,35.06828,-106.54641,2014-10-30 14:07:57;
@CsorbaCobra21 whose being rude to my kiddo??? #putsupfists,TerrilynnCsorba,35.2161,-106.67301,2014-10-30 14:08:31;
That's the smallest @SUBWAY I have ever seen (located in the Rio Rancho city hall) http://t.co/JboTy4M7r3,Will_Consuegra,35.30745,-106.65803,2014-10-30 14:08:44;
@JonnyBones @WhitkneeHawk lol miss your face pal. Hope you're doing good.,WhitkneeHawk,35.11868,-106.51606,2014-10-30 14:09:31;
Life After Deathrow,DatManDominguez,36.14069,-105.65959,2014-10-30 14:09:36;
i love college ,xoxo_dee__,35.11828,-106.70414,2014-10-30 14:09:42;
today's been good. tomorrow's gonna be better ?,Liddo_Thriller_,35.08494,-106.50948,2014-10-30 14:09:48;
"How my life goes, go to school, do homework, go bother Rj Noah and Nolan till its late and I have to go home",CierrRaw,35.06835,-106.57156,2014-10-30 14:09:57;
What goes around comes around. ,Enjoi_Kess,35.31852,-106.54446,2014-10-30 14:10:13;
@Raurizio I'm pretty sure I'm having something ,Trevor_O_420,35.09988,-106.5419,2014-10-30 14:10:16;
@kezkez_211 @sasha9418 i looked it up we have similar cheese sticks here in nm.,barmorris,35.08253,-106.52764,2014-10-30 14:10:45;
Primetime in my neighborhood gettin chicken from the coop ,iCantGetWright,35.11057,-106.61123,2014-10-30 14:11:02;
@colten_chavez wtf is on your face? Is that permanent? Lol,WhitkneeHawk,35.11867,-106.51605,2014-10-30 14:11:08;
@boxycharm I love the theme for November!! I can't wait for the spoilers! #sparkleandshine,Angelstrish,35.09186,-106.65068,2014-10-30 14:11:26;
"@EssentialFact: F*** You http://t.co/mxwudxbnCD"" """,_sarahanita,35.5893,-106.05083,2014-10-30 14:12:29;
"looking for a little dime, big butt and nice chest ",xoxo_dee__,35.14288,-106.69641,2014-10-30 14:12:39;
Maybe the reason why you loved me was cuz I was completely different from any guy you like. ,sterismusic,35.14446,-106.59024,2014-10-30 14:12:53;
Hey Sav guess what... 23 DAYSSS,ClareHouliston,35.12112,-106.70187,2014-10-30 14:13:15;
"Shift Supervisor (US) - Starbucks: (907 St. Francis Dr., #SantaFe, NM) http://t.co/rnRWQT3Id0 #BusinessMgmt #VeteranJob #Job #Jobs",tmj_sfe_mgmt,35.67893,-105.95365,2014-10-30 14:13:25;
YIPPIE!!! Tomorrow's #Halloween!! I get to dress #crazy (-ER) to work tomorrow!!!!,NorthValleyABQ,35.19104,-106.60936,2014-10-30 14:13:42;
I've never felt this way. Ever.,KEtsate,35.0832,-108.77192,2014-10-30 14:13:46;
Tattoo sesh..starting noooow!,WhitkneeHawk,35.11868,-106.51604,2014-10-30 14:13:58;
"@magicMYKE21: ?@BestComedyVine: Wait for it... https://t.co/qjuhQ3Ywho? when the mirror doesn't agree with your outfit"" """,_sarahanita,35.58931,-106.05073,2014-10-30 14:14:01;
"I ain't had a burger in forever, I'm really considering driving 10 miles to get five guys",iCantGetWright,35.11053,-106.61126,2014-10-30 14:14:33;
#LifeOnTheRoadEp2 please fallow me!!!! ilysm ,thatsoblanca,35.1318,-106.5822,2014-10-30 14:16:31;
"@desareemarie: This bitch is all nice one minute then goes and talks shit """,danyellieeee,35.15656,-106.56545,2014-10-30 14:16:44;
"@SteveStfler: Calling your Girlfriend beautiful cause your cock isn't gonna suck it's self."" Laughed way harder than I should have. """,_sarahanita,35.58919,-106.05073,2014-10-30 14:16:54;
I'll just be Pocahontas for Halloween.jk,LatriciaLynelle,35.08342,-106.62127,2014-10-30 14:17:21;
Still can't get over the fact that Lilly's painting teacher actually has no hands,nishniche,35.08312,-106.63092,2014-10-30 14:17:23;
@El_Nu_Nu @WhatTheBub ^^ woah salty Nu,farra_felicia,35.0519,-106.63626,2014-10-30 14:17:51;
Ugh my back hurts...,gabioirefa,35.08506,-106.61715,2014-10-30 14:18:16;
LOML ,CierrRaw,35.07003,-106.57104,2014-10-30 14:18:23;
@ItsAnnaSP hi sweetie how are you today?,St0rmy25Fry,35.24204,-106.65404,2014-10-30 14:18:41;
#Quinoa and kale salad for the win ,MissAshleyMoora,35.17716,-106.55477,2014-10-30 14:18:48;
@iveyjanette_207 @jolinegkg Good convo. Thanks for passion and sharing!,drpnewmex,35.08271,-106.65059,2014-10-30 14:18:57;
#Quinoa and #Kale salad for the win ,MissAshleyMoora,35.17711,-106.5548,2014-10-30 14:19:29;
Thinking about going to Wal-Mart,LatriciaLynelle,35.08345,-106.62125,2014-10-30 14:20:12;
"#SantaFe, NM #Hospitality #Job: Banquet Server at Inn and Spa at Loretto http://t.co/2VMBUjjD5e #Jobs #TweetMyJobs",DestinationJobs,35.68698,-105.9378,2014-10-30 14:20:38;
@LukeEatsKookies team rocket!! ,gabioirefa,35.08505,-106.61714,2014-10-30 14:20:42;
"When I'm out of Albuquerque, suddenly everybody wants to hang out... ",Enjoi_Kess,35.39198,-106.63944,2014-10-30 14:20:51;
"*makes Leslie knope costume sexy* mom:you can't make that costume sexy me: Leslie knope is sexy, of course I can.",ErinPorterS,35.0612,-106.59175,2014-10-30 14:21:04;
"@kburton_25: She so damn cute"" Thanks """,toobeastnish,35.09559,-106.71603,2014-10-30 14:21:13;
When i look at youuuuu,xom_axo,35.13626,-106.58429,2014-10-30 14:21:35;
"So @DrPhil are you ever going to unblock me from your @Facebook page?,",Angelstrish,35.09173,-106.65079,2014-10-30 14:21:37;
I still cry damn it http://t.co/Mn2H3DwSQl,St0rmy25Fry,35.24197,-106.65439,2014-10-30 14:21:41;
@vigil_lauren I had 100 notifications from you yesterday! ,_sarahanita,35.58925,-106.05077,2014-10-30 14:22:40;
Accident - 3 lanes blocked in #Albuquerque on I 40 WB east of Carlisle Blvd #traffic http://t.co/roJyGrgWgQ,TotalTrafficABQ,35.10518,-106.6043,2014-10-30 14:22:46;
I've been watching cute kitten videos all day #youtube #IDKWhy,skittlesflow,35.13465,-106.58018,2014-10-30 14:22:56;
I may be a new Ayurvedic medicine/diet fan. It's lasted 5000 years for some reason. :-),Atheria,35.05585,-106.54741,2014-10-30 14:24:28;
"UPS #Transportation #Job: Driver Helper (#RIORANCHO, NM) http://t.co/e65tctC0Kl #Jobs #TweetMyJobs",tmj_abq_transp,35.311,-106.68501,2014-10-30 14:25:29;
"It's a costume party btw, so if you show up without a costume you aren't coming inside ",Trevor_O_420,35.11467,-106.55086,2014-10-30 14:25:31;
No one is ever home when I come home,MegggNicoleee,35.32088,-106.71876,2014-10-30 14:25:58;
I want nothing more then to move out..,itsAshleyBro_,35.20633,-106.69827,2014-10-30 14:26:24;
Listen to YO (I'm feelin gud) ft. Reggie by @G_DGZ #np on #SoundCloud http://t.co/poQOEchLhe,G_DGZ,35.07632,-106.49857,2014-10-30 14:26:24;
"30 seconds: lay up, free throw, 3 point, half court for 10,000$ http://t.co/fp8MvfDAYS",Angelo9K,35.04269,-106.70556,2014-10-30 14:28:25;
RT ?@FillWerrell: When you're on the Oregon Trail and they pass you the aux cord http://t.co/0s7at12eYo?,Angelo9K,35.04236,-106.70523,2014-10-30 14:29:01;
We ate all the Halloween candy! #sorrynotsorry,TerrilynnCsorba,35.21613,-106.67285,2014-10-30 14:29:10;
I couldn't sleep last night because I was getting anxious about how I'm going to fit my shoes in my suitcase when I go to Europe. #deep,eliss_are,35.7444,-105.92074,2014-10-30 14:31:05;
I hope I find what I'm looking for,kianaolivar,35.15375,-106.56819,2014-10-30 14:31:21;
Maybe I should drink a little more,kianaolivar,35.15375,-106.56819,2014-10-30 14:31:36;
Maybe I should drink just a little more,kianaolivar,35.15387,-106.56803,2014-10-30 14:32:19;
I'm fighting but I'm losing,kianaolivar,35.15387,-106.56803,2014-10-30 14:32:30;
FROZEN IS IN SEASON FOUR OF ONCE UPON A TIME NIGGA WTF ,Cassi2Sassy,35.04707,-106.72433,2014-10-30 14:32:53;
Brother Is Back Home....,pamela_lovesyou,35.05244,-106.73739,2014-10-30 14:33:26;
Hate Seeing Him Cry,pamela_lovesyou,35.05244,-106.73739,2014-10-30 14:33:53;
Lunch & Shopping at Taos Ski Valley with family-so much fun!!! #winterfashions #sportyfashion? http://t.co/3iw2mtdMb4,CLPeraltaRamos,36.39369,-105.62591,2014-10-30 14:34:00;
Nimodo It Didnt Work Out,pamela_lovesyou,35.05245,-106.73738,2014-10-30 14:34:07;
Just Hope He Gets To See His Daughter /;,pamela_lovesyou,35.05246,-106.73737,2014-10-30 14:34:27;
Every Once In A While,pamela_lovesyou,35.05246,-106.73737,2014-10-30 14:34:39;
"@drpnewmex @jolinegkg Thanks. It's something few want to discuss openly. Nor offer workable,dignified,respectful solutions.",iveyjanette_207,35.05867,-106.57624,2014-10-30 14:34:42;
@_____jazzy yeah ,Jayliddo,35.06884,-106.66859,2014-10-30 14:34:47;
oh great another ariana grande song on the radio ,ahoyamber,35.12315,-106.65846,2014-10-30 14:34:51;
@dreamxlexis I can't believe you yo,Jayliddo,35.06884,-106.66859,2014-10-30 14:35:05;
I guess since tomorrow's Halloween this radio station is more than down to play panic at the disco and MCR which is tight,stormyransom,35.21373,-106.66595,2014-10-30 14:35:37;
@Cassi2Sassy I thought frozen was a movie ,Jayliddo,35.06884,-106.66859,2014-10-30 14:35:46;
Hiking Georgia O'Keeffe's Ghost Ranch & Abiquiu Lake all day long. ??,lolajp54,36.25739,-106.43057,2014-10-30 14:35:55;
"I'm addictive like a drug, One kid will get you sprung, Touch and you will get hurt, But you'll never find something my worth,",sterismusic,35.14446,-106.59024,2014-10-30 14:36:17;
The dogs go ham for welcome to the black parade. Welcome to the black lab parade .,stormyransom,35.21369,-106.66617,2014-10-30 14:36:33;
Love me love me love me oo oo oo oo harder harder harder,xom_axo,35.11679,-106.58666,2014-10-30 14:36:51;
"ABC News taking over The View"". That pretty much means #cancellation. Replaced with a 3rd hour of ""Good Morning America"". Soon to happen...""",iveyjanette_207,35.05867,-106.57625,2014-10-30 14:37:05;
[PHOENIX BOUND] Its been a great year with new clients and opportunities. We are grateful for your? http://t.co/XbcJID42BL,6micfilms,35.0801,-106.73292,2014-10-30 14:37:57;
"@drpnewmex MT@SMMirror: Venice residents demand no-camping enforcement at beach and board walk in a lawsuit http://t.co/k49Blp8JSE""""",iveyjanette_207,35.05867,-106.57624,2014-10-30 14:38:33;
Ariana grande is one of my wives ,xom_axo,35.1101,-106.5863,2014-10-30 14:38:35;
My ootd is so cute today ,Shashakay_,35.131,-106.58005,2014-10-30 14:38:48;
#TBT To 2012 when we added Bright Tank 4. We had a lot more space back then! #shiny #brighttank? http://t.co/QBiUu1rYGW,SantaFeBrew,35.59655,-106.05194,2014-10-30 14:39:57;
@dreamxlexis u dissin on some gems,Jayliddo,35.06894,-106.66874,2014-10-30 14:40:39;
"The Vitamin Shoppe: Key Holder (#Albuquerque, NM) http://t.co/WDMptSLFKD #Retail #Job #Jobs #TweetMyJobs",VSIcareers,35.10791,-106.57423,2014-10-30 14:40:45;
Work today,Devon_Sparkman,34.72567,-106.67185,2014-10-30 14:41:14;
"I'm at Cottonwood Mall in Albuquerque, NM https://t.co/me2FNroPh9",MZAHale,35.19835,-106.6569,2014-10-30 14:43:09;
When you got the munchies and you don't know what to get. ,JarredRickey,32.37657,-106.72457,2014-10-30 14:45:38;
So this guy comes to my house to try snd sell me magazines right.... he ends up asking if I'm single and all this shit. He was perfect ,danyellieeee,35.15656,-106.56548,2014-10-30 14:46:17;
"@Davidlaz @KTLA Only because certain elements of American society view this as corruption"" and ""fornication"". And view Cook as a ""threat"".""",iveyjanette_207,35.05867,-106.57624,2014-10-30 14:46:28;
Icees are life,madelyn_alexis,35.2226,-106.63537,2014-10-30 14:46:36;
I want black blue or red contacts ,CierrRaw,35.06899,-106.56378,2014-10-30 14:46:37;
Going to las vegas.. road trip in this god damn heat. ,xom_axo,35.11688,-106.58647,2014-10-30 14:47:28;
"For my 20th bday which is in a few days, I want anything w/ @onedirection. I'll die. Nov 17th is almost here! #FOUR http://t.co/W7qH79wCXW",LolaneDH12,35.52166,-108.78396,2014-10-30 14:47:52;
See That's how people get caught up,iCantGetWright,35.17489,-106.57306,2014-10-30 14:48:20;
I love keeping busy,erinmvyyye,35.06253,-106.54246,2014-10-30 14:48:59;
@jennifergould @ktlagingerchan @samontv @KTLAMorningNews @peoplemag He is right. Stupid #fatshaming occurs to female actors and musicians.,iveyjanette_207,35.05867,-106.57625,2014-10-30 14:49:04;
That was weirddd,xom_axo,35.11673,-106.60396,2014-10-30 14:49:52;
Well the future has so much for me im so excited,AshleyJayMills,35.09514,-106.66264,2014-10-30 14:49:54;
such a bitch ,ahoyamber,35.1316,-106.64875,2014-10-30 14:50:53;
@Nuevo_jbentz I was weighing out my pros and cons and thinking so hard about it haha THIS IS SERIOUS,eliss_are,35.74165,-105.92284,2014-10-30 14:51:14;
I'm raising money for A Place To Call Home. Click to Donate: http://t.co/Bk906sd8sh #gofundme,Cutt_DeVille,35.08419,-106.65448,2014-10-30 14:51:44;
"@HuffingtonPost: ""The View"" is now run by ABC News http://t.co/0oncLsNDKc"" To eventually be cancelled and replaced with a 3rd hr of ""GMA""""",iveyjanette_207,35.05867,-106.57624,2014-10-30 14:51:48;
"Brb gonna go die, the air conditioner is not working ",tanaelovespinK,32.88995,-105.97046,2014-10-30 14:52:18;
Let's cover your face with a plastic bag lol,skittlesflow,35.13461,-106.58018,2014-10-30 14:52:18;
@Gary__Puppet @jennifergould @ktlagingerchan @samontv @KTLAMorningNews @peoplemag Yeah. But she was a role model for us curvy women though.,iveyjanette_207,35.05867,-106.57624,2014-10-30 14:53:57;
@nadya_kasyanova Yes Nadya you know that already,GOTGirl2,35.06823,-106.54648,2014-10-30 14:54:18;
Every time I post something funny on my fb muthafuckers gotta ruin that shit with their sensitivity ,skittlesflow,35.13461,-106.58019,2014-10-30 14:54:30;
I'm a day late but here's that evil thing for cat day or w/e http://t.co/WfH2oCbsym,stormyransom,35.21368,-106.66602,2014-10-30 14:55:08;
@mellyybaby @Neecie oooh! Pretty!,kristendelcurto,35.13587,-106.60882,2014-10-30 14:55:14;
@CPlagmann love minion stuff!,kristendelcurto,35.13587,-106.60882,2014-10-30 14:55:39;
Take that sensitive shit somewhere else...,skittlesflow,35.13462,-106.58015,2014-10-30 14:55:52;
that feeling when you get your haircut ,eehcnodnarb,35.63747,-106.01637,2014-10-30 14:56:06;
They way you did you're hair is meant for a girl ,Silas0894,35.2581,-106.59569,2014-10-30 14:56:10;
Muthafuckers with no sense of humor,skittlesflow,35.13462,-106.58015,2014-10-30 14:56:31;
@CPlagmann @lainieg01 @Lokicdn are you for real?! I love when you post Universal tour tweets!,kristendelcurto,35.13591,-106.60893,2014-10-30 14:56:51;
Theses bitches!,GabrielToddy99,32.95795,-105.7424,2014-10-30 14:56:54;
